timestamp,temperatura_pr1,date (America/Sao_Paulo)
1763431523818,4.6,2025-11-17 23:05:23.818000-03:00
1763431463493,5.4,2025-11-17 23:04:23.493000-03:00
1763431403163,5.9,2025-11-17 23:03:23.163000-03:00
1763431342838,5.9,2025-11-17 23:02:22.838000-03:00
1763431282477,5.4,2025-11-17 23:01:22.477000-03:00
1763431222160,4.9,2025-11-17 23:00:22.160000-03:00
1763431161821,4.4,2025-11-17 22:59:21.821000-03:00
1763431101500,4.0,2025-11-17 22:58:21.500000-03:00
1763431041105,3.6,2025-11-17 22:57:21.105000-03:00
1763430980777,3.4,2025-11-17 22:56:20.777000-03:00
1763430920458,4.0,2025-11-17 22:55:20.458000-03:00
1763430860127,4.9,2025-11-17 22:54:20.127000-03:00
1763430799806,5.6,2025-11-17 22:53:19.806000-03:00
1763430739473,6.1,2025-11-17 22:52:19.473000-03:00
1763430679150,5.7,2025-11-17 22:51:19.150000-03:00
1763430618819,5.2,2025-11-17 22:50:18.819000-03:00
1763430558493,4.7,2025-11-17 22:49:18.493000-03:00
1763430498155,4.2,2025-11-17 22:48:18.155000-03:00
1763430437824,3.8,2025-11-17 22:47:17.824000-03:00
1763430377493,3.5,2025-11-17 22:46:17.493000-03:00
1763430317123,3.5,2025-11-17 22:45:17.123000-03:00
1763430256802,4.3,2025-11-17 22:44:16.802000-03:00
1763430196470,5.2,2025-11-17 22:43:16.470000-03:00
1763430136149,5.8,2025-11-17 22:42:16.149000-03:00
1763430075816,6.0,2025-11-17 22:41:15.816000-03:00
1763430015491,5.5,2025-11-17 22:40:15.491000-03:00
1763429955111,5.0,2025-11-17 22:39:15.111000-03:00
1763429894778,4.5,2025-11-17 22:38:14.778000-03:00
1763429834450,4.1,2025-11-17 22:37:14.450000-03:00
1763429774119,3.7,2025-11-17 22:36:14.119000-03:00
1763429713791,3.4,2025-11-17 22:35:13.791000-03:00
1763429653465,3.7,2025-11-17 22:34:13.465000-03:00
1763429593139,4.7,2025-11-17 22:33:13.139000-03:00
1763429532813,5.4,2025-11-17 22:32:12.813000-03:00
1763429472491,6.0,2025-11-17 22:31:12.491000-03:00
1763429412099,5.9,2025-11-17 22:30:12.099000-03:00
1763429351766,5.4,2025-11-17 22:29:11.766000-03:00
1763429291441,4.9,2025-11-17 22:28:11.441000-03:00
1763429231123,4.4,2025-11-17 22:27:11.123000-03:00
1763429170793,3.9,2025-11-17 22:26:10.793000-03:00
1763429110476,3.6,2025-11-17 22:25:10.476000-03:00
1763429050137,3.4,2025-11-17 22:24:10.137000-03:00
1763428989808,4.0,2025-11-17 22:23:09.808000-03:00
1763428929481,4.9,2025-11-17 22:22:09.481000-03:00
1763428869093,5.6,2025-11-17 22:21:09.093000-03:00
1763428808764,6.1,2025-11-17 22:20:08.764000-03:00
1763428748440,5.7,2025-11-17 22:19:08.440000-03:00
1763428688114,5.2,2025-11-17 22:18:08.114000-03:00
1763428627786,4.7,2025-11-17 22:17:07.786000-03:00
1763428567462,4.2,2025-11-17 22:16:07.462000-03:00
1763428507149,3.8,2025-11-17 22:15:07.149000-03:00
1763428446809,3.5,2025-11-17 22:14:06.809000-03:00
1763428386207,3.5,2025-11-17 22:13:06.207000-03:00
1763428325886,4.4,2025-11-17 22:12:05.886000-03:00
1763428265571,5.2,2025-11-17 22:11:05.571000-03:00
1763428205228,5.8,2025-11-17 22:10:05.228000-03:00
1763428144902,6.0,2025-11-17 22:09:04.902000-03:00
1763428084575,5.5,2025-11-17 22:08:04.575000-03:00
1763428024248,5.0,2025-11-17 22:07:04.248000-03:00
1763427963924,4.5,2025-11-17 22:06:03.924000-03:00
1763427903608,4.1,2025-11-17 22:05:03.608000-03:00
1763427843267,3.7,2025-11-17 22:04:03.267000-03:00
1763427782957,3.4,2025-11-17 22:03:02.957000-03:00
1763427722613,3.7,2025-11-17 22:02:02.613000-03:00
1763427662287,4.7,2025-11-17 22:01:02.287000-03:00
1763427601962,5.5,2025-11-17 22:00:01.962000-03:00
1763427541631,6.0,2025-11-17 21:59:01.631000-03:00
1763427481314,5.8,2025-11-17 21:58:01.314000-03:00
1763427420869,5.3,2025-11-17 21:57:00.869000-03:00
1763427360553,4.9,2025-11-17 21:56:00.553000-03:00
1763427300231,4.4,2025-11-17 21:55:00.231000-03:00
1763427239889,3.9,2025-11-17 21:53:59.889000-03:00
1763427179558,3.5,2025-11-17 21:52:59.558000-03:00
1763427119237,3.7,2025-11-17 21:51:59.237000-03:00
1763427058902,4.7,2025-11-17 21:50:58.902000-03:00
1763426998578,5.4,2025-11-17 21:49:58.578000-03:00
1763426938255,6.0,2025-11-17 21:48:58.255000-03:00
1763426877957,5.9,2025-11-17 21:47:57.957000-03:00
1763426817623,5.3,2025-11-17 21:46:57.623000-03:00
1763426757305,4.8,2025-11-17 21:45:57.305000-03:00
1763426696943,4.4,2025-11-17 21:44:56.943000-03:00
1763426636614,3.9,2025-11-17 21:43:56.614000-03:00
1763426576286,3.6,2025-11-17 21:42:56.286000-03:00
1763426515963,3.4,2025-11-17 21:41:55.963000-03:00
1763426451082,4.1,2025-11-17 21:40:51.082000-03:00
1763426390768,5.0,2025-11-17 21:39:50.768000-03:00
1763426330429,5.7,2025-11-17 21:38:50.429000-03:00
1763426270104,6.1,2025-11-17 21:37:50.104000-03:00
1763426209773,5.6,2025-11-17 21:36:49.773000-03:00
1763426149453,5.1,2025-11-17 21:35:49.453000-03:00
1763426089151,4.6,2025-11-17 21:34:49.151000-03:00
1763426028796,4.2,2025-11-17 21:33:48.796000-03:00
1763425968467,3.8,2025-11-17 21:32:48.467000-03:00
1763425908082,3.4,2025-11-17 21:31:48.082000-03:00
1763425847759,3.5,2025-11-17 21:30:47.759000-03:00
1763425787429,4.4,2025-11-17 21:29:47.429000-03:00
1763425727096,5.2,2025-11-17 21:28:47.096000-03:00
1763425666777,5.9,2025-11-17 21:27:46.777000-03:00
1763425606445,6.0,2025-11-17 21:26:46.445000-03:00
1763425546116,5.5,2025-11-17 21:25:46.116000-03:00
1763425485792,5.0,2025-11-17 21:24:45.792000-03:00
1763425425488,4.5,2025-11-17 21:23:45.488000-03:00
1763425364978,4.1,2025-11-17 21:22:44.978000-03:00
1763425304668,3.7,2025-11-17 21:21:44.668000-03:00
